pass,route_or_section,viewport,final_url,h1,text_chars,h_overflow,axe_serious_critical,axe_moderate_minor,tap_under24,tap_under44,text_under12px,screenshot
anon,/,m360,/,717Rec — Lancaster's Premier Cornhole League|717Rec — Lancaster's Premier Cornhole League,1609,False,,image-redundant-altx6;landmark-uniquex2,14,19,11,screenshots/anon/home--m360.png
anon,/teams,m360,/teams,Teams,264,False,button-namex3,heading-orderx1;landmark-uniquex1,5,10,1,screenshots/anon/teams--m360.png
anon,/teams/3-amigos,m360,/teams/3-amigos,3 Amigos,358,False,color-contrastx2,landmark-uniquex1,4,5,4,screenshots/anon/teams-3-amigos--m360.png
anon,/teams/burning-holes-taking-souls,m360,/teams/burning-holes-taking-souls,Burning Holes & Taking Souls,370,False,color-contrastx2,landmark-uniquex1,4,5,3,screenshots/anon/teams-burning-holes-taking-souls--m360.png
anon,/schedule,m360,/schedule,,299,False,,landmark-uniquex1;page-has-heading-onex1,3,5,15,screenshots/anon/schedule--m360.png
anon,/stats,m360,/stats,,1397,False,,landmark-uniquex1;page-has-heading-onex1,3,32,34,screenshots/anon/stats--m360.png
anon,/playoffs,m360,/playoffs,Playoffs,432,False,,heading-orderx1;landmark-uniquex1,3,5,1,screenshots/anon/playoffs--m360.png
anon,/playoffs?bracket=22a7745e-0a8a-4682-ad0e-e5701c292927,m360,/playoffs?bracket=22a7745e-0a8a-4682-ad0e-e5701c292927,Playoffs|22a7745e-0a8a-4682-ad0e-e5701c292927,2029,False,image-altx48;scrollable-region-focusablex1,heading-orderx1;landmark-uniquex1,3,5,1,screenshots/anon/playoffs-bracket-22a7745e-0a8a-4682-ad0e-e5701c292927--m360.png
anon,/history,m360,/history,Season History,3168,False,,heading-orderx1;landmark-uniquex1,3,13,83,screenshots/anon/history--m360.png
anon,/message-board,m360,/message-board,Message Board,351,False,,heading-orderx1;landmark-uniquex1,3,5,1,screenshots/anon/message-board--m360.png
anon,/compare,m360,/compare,Team Comparison,279,False,button-namex3,landmark-uniquex1,3,4,1,screenshots/anon/compare--m360.png
anon,/compare?team1=9ee2b996-99f6-446c-be20-8255ca75d8c8&team2=eb7976c7-fc7f-40e9-926d-d8bd1754003d,m360,/compare,Team Comparison,279,False,button-namex3,landmark-uniquex1,3,4,1,screenshots/anon/compare-team1-9ee2b996-99f6-446c-be20-8255ca75d8c8-team2-eb7976c7-fc7f-40e9-926d-d8bd1754003d--m360.png
